city,state,country,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aachen,(NA),DE,,,,,,,,,67
Aalst,(NA),BE,,,,,,,,,58
Abbotsford,BC,CA,,,,,40,39,39,40,40
Aberdeen,SD,US,,54,52,53,53,53,54,61,61
Abilene,TX,US,,,,,,,6,6,6
Abingdon,VA,US,,,,,,,24,26,25
Abington,MA,US,,,,,,,,,13
Acton,MA,US,,,,,,16,17,18,24
Acworth,GA,US,,,,,,,13,18,19
Addison,TX,US,,,,,,18,19,19,23
Adelaide,SA,AU,,,,,,27,,31,32
Agawam Town,MA,US,,,,,,,,8,8
Agoura Hills,CA,US,,,,,,,35,40,36
Aguada,PR,US,,,,,,,,,25
Aitkin,MN,US,,,,,,,,23,15
Ajax,ON,CA,,,,,45,46,47,48,52
Akron,NY,US,,,,,,20,20,20,20
Akron,OH,US,,14,14,14,18,19,22,23,23
Alafaya,FL,US,,,,,,26,26,28,28
Alameda,CA,US,,,,,,44,46,47,53
Alamo,CA,US,,,,,27,30,30,31,30
Alamogordo,NM,US,,,,,6,8,9,12,12
Alamosa,CO,US,,,,,,,14,13,27
Albany,CA,US,,,,,,,60,60,60
Albany,GA,US,,24,7,7,7,10,11,13,13
Albany,NY,US,,9,9,9,8,8,10,10,12
Albany,OR,US,,,,20,25,24,23,24,22
Albert Lea,MN,US,,,,,,,,10,10
Albuquerque,NM,US,27,27,14,13,27,28,31,32,33
Albury-Wodonga,NSW,AU,,,,,,,37,38,38
Aledo,TX,US,,,,,,30,30,31,31
Alexandria,MN,US,18,18,20,9,9,9,9,11,11
Alexandria,VA,US,38,37,37,39,40,37,35,37,38
Algonquin,IL,US,,,,,,,29,31,32
Alhambra,CA,US,,,,,,24,23,25,25
Alicante,(NA),ES,,,,,,,67,68,70
Alice Springs,NT,AU,,,,,49,50,,51,52
Aliso Viejo,CA,US,,,,,10,10,10,10,11
Allegan,MI,US,,,,,,,23,23,19
Allen,TX,US,,,,,23,22,22,24,24
Allentown,PA,US,,,,,23,23,30,35,31
Alliance,OH,US,,,,,,35,40,43,43
Alma,MI,US,70,70,79,81,29,29,32,34,32
Almere,FL,NL,,,,,,,85,85,85
Alpena,MI,US,,,,,,,,47,69
Alpharetta,GA,US,,,,,,18,18,23,22
Altadena,CA,US,,,,,,20,19,27,26
Altamonte Springs,FL,US,,,,,7,7,7,10,10
Alto Pass,IL,US,,,,,,,,54,54
Alton,IL,US,,,,,,,,6,6
Altoona,PA,US,,,,,,,36,37,37
Alvarado,TX,US,,,,,,13,13,13,15
Alvord,TX,US,,,,,,16,15,13,13
Amarillo,TX,US,,,,,,6,6,6,6
American Canyon,CA,US,,,,,27,31,29,29,29
American Fork,UT,US,,,,,25,25,26,27,32
Ames,IA,US,,54,54,40,46,56,62,66,64
Amesbury Town,MA,US,,,,,,,,13,10
Amherst,MA,US,,,,,,,17,18,24
Amsterdam,NH,NL,,,,,86,84,82,85,84
Anaheim,CA,US,17,16,17,15,16,14,14,15,14
Anchorage,AK,US,,33,29,32,38,39,63,64,64
Anderson,IN,US,,,,,,6,5,6,6
Anderson,SC,US,,,,,,,8,8,9
Andover,MA,US,,,,,,,,11,17
Andover,MN,US,,,,,,,,26,27
Andover,OH,US,,,,,,,,35,40
Angola,IN,US,,,,,,,,23,20
Ankeny,IA,US,,,,,,68,70,70,65
Ann Arbor,MI,US,33,35,35,40,38,36,45,46,45
Anna,TX,US,,,,,,25,28,27,27
Annapolis,MD,US,,,,,9,9,12,13,13
Annetta,TX,US,,,,,,20,23,17,15
Anniston,AL,US,,,,,,,,31,31
Antioch,CA,US,,,,,,27,29,30,29
Antwerp,(NA),BE,,,,84,,84,77,79,80
Apex,NC,US,,,,,,,,,19
Apopka,FL,US,,,,,,,,11,11
Apple Valley,CA,US,,,,,,,44,45,45
Apple Valley,MN,US,,,,,,,,27,26
Appleton,WI,US,,21,21,26,26,29,30,30,32
Aptos,CA,US,,,,33,33,33,28,31,30
Arcadia,CA,US,,,,,,,,,22
Arcata,CA,US,,,63,49,62,53,55,58,59
Ardmore,PA,US,,,,,46,47,40,45,49
Argyle,TX,US,,,,,,15,21,21,21
Arkansas City,KS,US,,,,,,,,13,13
