city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Antwerp,VAN,Antwerp,Belgium,Europe,2023,9900041,530504,51.2194,4.4025,25,6d1927b4-3474-4ce0-9b2e-2a1f5a7d91bd,1a759b85-cd87-4bb1-9efa-5789e38e9982,75.81,0,76.63,81.67,84.76,79.91,73.51,68.69,82.43,76.62,83.02,77.82,78.15,73.71,78.49,94.45,70.7,82.13,71.59,77.1,77,1862.2,437.8,large,,,,,,2023-01-09T14:30:00Z,_Antwerp_v23.2.csv
Antwerp,VAN,Antwerp,Belgium,Europe,2023,9900041,530504,51.2194,4.4025,25,6d1927b4-3474-4ce0-9b2e-2a1f5a7d91bd,219082f0-4485-450c-a6b1-16a45dda3c47,86.88,0,90.88,81.46,82.79,86.94,87.3,77.03,88.97,90.23,93.84,88.53,88.72,75.41,90.16,98.05,81.41,90.73,79.13,84.95,85,1862.2,437.8,large,,,,,,2023-01-06T16:22:00Z,_Antwerp_v23.1.csv
Bruges,VWV,West Flanders,Belgium,Europe,2023,9900042,116855,51.2167,3.2333,25,728b3357-89b9-4c3b-9af3-5e45acadaf40,cd904d2b-90fa-445d-846d-bdc2b95c76c0,72.4,0,75.76,84.26,79.78,78.3,70.62,65.78,79.75,71.79,77.98,79.77,75.29,64.53,79.61,85.78,69.67,79.28,69.99,73.65,74,957.8,299.2,medium,,,,,,2023-01-09T14:31:00Z,_Bruges_v23.2.csv
Bruges,VWV,West Flanders,Belgium,Europe,2023,9900042,116855,51.2167,3.2333,25,728b3357-89b9-4c3b-9af3-5e45acadaf40,8b03a3da-a447-4d79-b0b7-6aab93330bff,80.43,0,86,85.03,82.63,84.81,81.63,72.85,79.89,81.73,87.75,85.09,82.46,66.29,86.61,92.24,80.25,86.99,80.58,80.6,81,957.8,299.2,medium,,,,,,2023-01-06T17:06:00Z,_Bruges_v23.1.csv
Brussels,BRU,Brussels Capital Region,Belgium,Europe,2023,9900043,188737,50.8503,4.3517,25,2f6d2f1a-e9d3-4099-a1b1-ca01040d0a4c,d2ef7225-c78a-4665-a2d0-853b1b373d62,76.47,0,85.59,84.5,79.63,83.59,84.04,79.84,76.28,85.78,90.27,84.78,83.91,65.55,86.02,83.86,83.05,84.52,80.81,79.6,80,481.6,87.8,medium,,,,,,2023-01-06T16:36:00Z,_Brussels_v23.1.csv
Brussels,BRU,Brussels Capital Region,Belgium,Europe,2023,9900043,188737,50.8503,4.3517,25,2f6d2f1a-e9d3-4099-a1b1-ca01040d0a4c,34330464-1e70-4988-9f92-52e3c6a869c0,80.68,0,88.36,88.89,85.23,87.48,87.8,83.99,83.77,87.98,92.14,88.5,87.82,73.98,87.88,81.93,87.96,85.82,84.9,83.87,84,481.6,87.8,medium,,,,,,2023-01-07T09:22:00Z,_Brussels_v23.2.csv
Deinze,VOV,East Flanders,Belgium,Europe,2023,9900044,10232,50.9875,3.5236,25,6da9b556-b9af-49e6-b92b-cc48cf47217d,fcf77647-f786-4998-a5a3-756fe049d835,64.72,0,62.79,0,0,62.79,61.92,58.31,79.99,66.15,65.52,58.68,66.01,59.08,69.15,73.81,54.77,67.19,64.19,64.04,64,400.1,98.6,small,,,,,,2023-01-09T14:32:00Z,_Deinze_v23.2.csv
Deinze,VOV,East Flanders,Belgium,Europe,2023,9900044,10232,50.9875,3.5236,25,6da9b556-b9af-49e6-b92b-cc48cf47217d,65b95610-3499-4405-a0a0-0d7bcc4f808a,68.19,0,64.88,0,0,64.88,61.13,61.27,79.77,65.6,69.46,66.17,68.16,61.78,77.73,79.91,51.98,72.06,67.34,67.01,67,400.1,98.6,small,,,,,,2023-01-06T17:07:00Z,_Deinze_v23.1.csv
Ghent,VOV,East Flanders,Belgium,Europe,2023,9900045,241708,51.0543,3.7174,25,aed3a594-a334-4cc3-a8e7-36a9875cadea,40f5ee8b-7667-482a-ba7c-f5e933dfc691,76.59,0,78.28,79.46,85.73,80.75,78.75,77.2,77.78,77.53,83.4,81.11,79.8,72.86,82.77,89.45,74.2,82.97,72.24,77.81,78,1495.4,343.7,medium,,,,,,2023-01-09T14:31:00Z,_Ghent_v23.2.csv
Ghent,VOV,East Flanders,Belgium,Europe,2023,9900045,241708,51.0543,3.7174,25,aed3a594-a334-4cc3-a8e7-36a9875cadea,4b999ead-6065-4c2b-8b24-8f8b357f298c,78.15,0,85.02,72.61,82.09,82.21,81.98,79.32,74.73,83.4,89.59,84.76,82.73,80.44,86.75,90.51,79.64,86.29,71.03,80.37,80,1495.4,343.7,medium,,,,,,2023-01-06T16:37:00Z,_Ghent_v23.1.csv
