City,census_name,State,state_full,fips_code,Country,uuid,Year,Community Survey - Network,Community Survey - Awareness,Community Survey - Safety,Community Survey - Ridership,Community Score - Total,"Community Score - Total, Rounded",Community Survey - Responses,BNA - neighborhoods,BNA - opportunity_employment,BNA - opportunity_k12_education,BNA - opportunity_technical_vocational_college,BNA - opportunity_higher_education,BNA - opportunity,BNA - essential_services_doctors,BNA - essential_services_dentists,BNA - essential_services_hospitals,BNA - essential_services_pharmacies,BNA - essential_services_grocery,BNA - essential_services_social_services,BNA - essential_services,BNA - retail,BNA - recreation_parks,BNA - recreation_trails,BNA - recreation_community_centers,BNA - recreation,BNA - transit,BNA - overall_score,total_low_stress_miles,total_high_stress_miles,city_ratings_total,city_ratings_rounded,population,rank_country,pop_size,rank_country_size,rank_state_size,speed_limit,region,latitude,longitude
Pueblo,Pueblo city,CO,Colorado,862000,United States,ffc8c95c-bcbc-4587-81d8-2d8ff3033453,2021,45.996,43.322,49.27,75.946,53.6335,54,77,6.82,4.91,6.93,1.15,0,5.32,1.33,0,3.68,2.95,3.34,2.87,2.56,1.77,11.37,5.28,0.55,6.53,0.09,3.86,101.8,1107.1,13.8147,14,110841,624,medium,278,12,30,Mountain,38.271321,-104.610844
Lombard,Lombard village,IL,Illinois,1744407,United States,ffbaed11-58f0-4c17-aa69-e0a51e509f9d,2021,56.278,36.94,42.38,64.726,50.081,50,73,7.86,6.28,16.66,0,0,8.03,1.91,3.22,0,3.61,7.03,0,3.32,32.68,18.97,9.28,0,14.45,0.78,10.64,36.8,296.6,18.5282,19,43998,508,small,225,7,30,Midwest,41.8738441,-88.0154914
Mildura,,VIC,Victoria,,Australia,fe911e7d-0ed8-483e-bb08-8ebb8502690c,2021,40.4,33.2,45.8,74.8,48.56,49,33,37.45,,43.16,19.43,19.43,32.48,0,35.66,32.27,24.32,39.84,0,34.48,17.47,61.44,36.13,10.68,39.89,14.04,30,146.5,313.7,33.488,33,38130,23,small,10,1,31,Australia,-34.208,142.1246
Asheville,Asheville city,NC,North Carolina,3702140,United States,fe5ae74c-7635-4beb-86d1-5a5558235abf,2021,47.302,48.572,44.404,79.108,54.8465,55,105,14.27,10.6,6,4.26,18.63,9.96,2.66,0.58,9.42,6.62,11.06,3.39,6.41,10.94,12.68,16.21,2.73,11.43,0.49,8.84,83,1200.2,18.0413,18,91560,516,medium,228,4,35,South,35.570977,-82.5527383
Oviedo,,FL,Florida,1253575,United States,fe257065-1a40-4910-b615-c84a7d1b3f52,2021,0,0,0,0,0,0,0,18.18,12.57,16.42,7.79,0,10.93,0,9.44,3.71,3.05,15.62,0,9.07,20.4,39.8,5.02,16.54,21.81,0,15.36,20.2,318.1,15.36,15,40370,598,small,267,16,30,South,28.6619305,-81.1871009
Fredericksburg,Fredericksburg city,VA,Virginia,5129744,United States,fdc876d5-f864-4e26-846b-7b01cf3ee6c0,2021,42.736,47.458,45.032,78.366,53.398,53,39,28.91,21.68,23.18,14.28,36.51,24.43,17.23,18.45,3.31,0.27,9.6,4.51,9.06,24.64,37.95,22.19,15.12,26.73,12.79,20.66,200,73.7,27.2076,27,28622,318,small,135,11,25,South,38.2992718,-77.4866583
Park City,Park City city,UT,Utah,4958070,United States,fdbada48-3d9e-493b-a0d4-30e25a25e164,2021,77.38,90.03,36.384,75.744,69.8845,70,28,45.19,39.82,25.38,0,0,32.6,0,0,14.18,18.32,32.56,0,15.07,25.84,46.46,58.74,0,52.19,38.53,33.8,438.2,50.6,41.0169,41,8375,94,small,46,1,25,Mountain,40.6502829,-111.5019291
Albuquerque,Albuquerque city,NM,New Mexico,3502000,United States,fd94b0cc-fbb6-4aa9-94c3-b049e5c77096,2021,53.896,54.166,47.842,82.39,59.5735,60,139,28.8,20.51,37.45,12.26,28.16,27.14,15.59,12.28,19.69,15.41,31.47,15.29,19.99,36.93,54.62,39.34,11.62,38.52,10.65,26.66,3934.6,1296.5,33.2427,33,559374,198,large,27,1,25,Mountain,35.1047797,-106.6468093
Decatur,Decatur city,GA,Georgia,1322052,United States,fd7c9fd9-8dbe-4676-836c-631e0af48746,2021,60,50.834,46.624,57.334,53.698,54,50,6.98,6.86,18.6,16.05,0,10.52,1.21,5.07,5.8,2.53,14.56,15.4,8.11,2.76,42.76,0,0,26.31,7.28,10.23,19,140.8,18.9236,19,24002,502,small,221,5,30,South,33.771455,-84.2978566
Brandon,,MB,Manitoba,,Canada,fd783435-cf43-458a-8120-c592bf4ce634,2021,40.25,26,44,71,45.31,45,53,41.67,,56.53,0,9.36,39.88,0,9.49,22.53,15.43,27.61,46.06,26.01,33.06,71.99,56.86,24.99,54.94,10.52,34.21,83.9,421.1,36.43,36,48859,30,small,2,1,31,Canada,49.8485,-99.9501
