city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Millburn,NJ,New Jersey,United States,Mid-Atlantic,2024,3446380,21699,40.7416,-74.3213,25,5a613a28-9f09-495c-82c6-f718d63fa0fd,539d5cee-7ca9-4907-873d-e478c1d20ed9,29.97,22.04,53.14,0,0,29.24,24.48,22.41,8.26,32.51,45.47,20.78,26.52,15.99,51.13,0,0,31.46,35.18,28.04,28,170.9,51.2,small,,,,,,2024-03-12T16:04:00Z,NJ_Millburn_v24.1.csv
Montclair State University,NJ,New Jersey,United States,Mid-Atlantic,2024,3447524,1714,40.8659,-74.1984,25,0ea662bc-6f9f-48ee-a1b4-1a4f5eb6cdc8,3e31d696-96d9-4c9f-8178-87779e4990d0,18.13,7.4,3.41,0,99.56,26.33,3.85,0,0,0,0,0,1.18,0,33.56,0,0,13.42,6.27,11.18,11,3.9,1.6,small,,,,,,2024-03-12T16:05:00Z,NJ_Montclair State University_v24.1.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2017,3448300,18677,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,db513545-6e29-43d1-b6d2-dce117571981,30.44,30.46,60.24,0,0,35.27,20.03,0,28.76,13.69,18.83,0,21.11,7.99,52.93,0,24.61,42.04,10.65,24.14,24,0,0,small,,,,,,2017-04-29T06:59:00Z,NJ_Morristown_v17.1.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2017,3448300,18677,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,f85bc2e7-0e66-491c-aab3-981a5e23b3ed,26.09,22.26,57.55,0,0,31.04,12.58,0,20.65,13.48,25.17,0,19.05,7.99,53.56,0,24.61,42.43,10.65,23.09,23,65.4,25.8,small,,,,,,2017-07-18T11:17:00Z,NJ_Morristown_v17.2.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2018,3448300,18833,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,8d28e2c8-3343-4ab3-9edd-c43ae6a7b431,26.09,22.26,57.5,0,0,31.02,12.58,0,20.65,13.48,25.17,0,19.05,7.99,57.4,0,24.61,44.79,10.65,23.44,23,65.4,25.8,small,,,,,,2018-01-30T18:12:00Z,NJ_Morristown_v18.1.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2019,3448300,18769,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,be98f1f4-274d-4351-96f5-b56b3d59a6d3,23.98,21.25,49.87,0,59.72,40.93,14.7,19.43,20.12,18.36,23.49,0,16.62,0.81,62.1,0,15.9,44.33,12.38,23.74,24,65.8,27,small,,,,,,2019-02-14T21:42:00Z,NJ_Morristown_v19.1.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2020,3448300,18909,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,b270bea6-42ce-4e5e-8e06-89f91965ce32,25.16,21.29,53.82,1.06,60.38,38.47,21.19,19.96,21.02,23.19,23.8,0,18.71,1.09,65,0,15.52,45.97,11.82,24.04,24,66.6,27,small,,,,,,2020-02-20T20:48:00Z,NJ_Morristown_v20.1.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2021,3448300,19065,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,1256a322-7056-4656-a251-20c6a3aafb92,25.61,21.81,54.62,1.06,60.38,38.93,22.54,19.97,21.46,23.19,23.8,0,19.07,1.09,64.25,0,15.52,45.51,11.82,24.2,24,66.9,27.1,small,,,,,,2021-02-26T10:14:00Z,NJ_Morristown_v21.1.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2022,3448300,20003,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,7c17b54e-1fca-4f63-9b2f-2dc6134ccd65,30.05,24.27,55.63,1.06,34.82,35.04,22.54,19.97,33.1,26.35,39.2,0,25.56,1.09,66.48,0,18.36,47.97,11.82,25.76,26,68.8,27.1,small,,,,,,2022-01-23T21:50:00Z,NJ_Morristown_v22.1.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2023,3448300,20126,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,218cdd32-9e28-4256-851f-701fcd462c56,31.74,26.11,58.31,1.06,35.12,36.68,43.04,20.17,45.25,17.6,45.67,48.8,40.17,48.96,68.05,0,18.7,49.07,12.14,36.66,37,69.6,27.2,small,,,,,,2023-04-02T22:16:00Z,NJ_Morristown_v23.1.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2023,3448300,20126,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,4578c870-2d33-4194-9118-15186e5ecac3,31.74,26.11,58.31,1.06,35.12,36.68,43.04,20.17,45.25,17.6,47.53,48.8,40.64,48.96,67.96,0,18.7,49.01,12.14,36.74,37,69.4,27.2,small,,,,,,2023-08-25T13:34:00Z,NJ_Morristown_v23.2.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2023,3448300,20126,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,1cce5160-62d2-421b-b278-739132451b78,31.74,26.11,58.31,1.06,35.12,36.68,43.04,20.17,45.25,17.6,47.53,48.8,40.64,48.96,68.38,0,18.7,49.27,12.14,36.78,37,69.3,27.2,small,,,,,,2023-12-06T14:56:00Z,NJ_Morristown_v23.3.csv
Morristown,NJ,New Jersey,United States,Mid-Atlantic,2024,3448300,20126,40.7966,-74.4773,25,2195cafc-ab5e-4c03-93d7-8b3972fef063,63751999-458e-474b-94a3-a648608d6dc6,31.74,26.11,58.32,1.06,35.12,36.68,43.04,20.17,47.84,20.04,47.53,48.8,41.4,54.79,68.38,0,18.7,49.27,12.14,37.81,38,68.8,27.2,small,,,,,,2024-03-12T16:04:00Z,NJ_Morristown_v24.1.csv
Neptune City,NJ,New Jersey,United States,Mid-Atlantic,2023,3449920,4619,40.2005,-74.0333,25,d87523ac-4143-4e80-843f-720bb563cde8,ee53939d-6381-4871-ab2c-48b1e505ff3d,13.64,11,23.39,0,0,17.2,0,2.58,47.97,3.92,0,3.14,10.72,8.96,11.99,0,4.65,9.17,3.94,10.94,11,29.3,13.1,small,,,,,,2023-08-25T13:34:00Z,NJ_Neptune City_v23.1.csv
Neptune City,NJ,New Jersey,United States,Mid-Atlantic,2023,3449920,4619,40.2005,-74.0333,25,d87523ac-4143-4e80-843f-720bb563cde8,cdefaf27-fca2-446b-b89b-42bd2fc31899,13.59,10.95,23.39,0,0,17.17,0,2.58,47.97,3.92,0,3.14,10.72,8.96,11.99,0,4.65,9.17,3.94,10.93,11,27.6,13.1,small,,,,,,2023-12-06T14:56:00Z,NJ_Neptune City_v23.2.csv
Neptune City,NJ,New Jersey,United States,Mid-Atlantic,2024,3449920,4619,40.2005,-74.0333,25,d87523ac-4143-4e80-843f-720bb563cde8,073c7dda-56b6-4fac-85f4-0a5b0c800923,13.52,10.9,23.91,0,0,17.41,9.15,2.58,47.97,3.92,0,3.14,12.55,18.34,11.74,0,4.65,9.01,3.94,12.71,13,27.6,13.1,small,,,,,,2024-03-12T16:05:00Z,NJ_Neptune City_v24.1.csv
New Brunswick,NJ,New Jersey,United States,Mid-Atlantic,2021,3451210,55992,40.4867,-74.4444,25,a87c1b01-50e4-4d8c-acb4-b0c71b571cbf,6f793637-9bdf-421d-a617-353d645fd690,57.06,57.1,70.59,67.77,68.97,65.26,42.34,22.68,76.77,34.57,57.82,53.53,52.03,1.7,70.41,0,21.69,51.67,5.14,40.79,41,137,48.9,medium,,,,,,2021-10-18T11:11:00Z,NJ_New Brunswick_v21.1.csv
