City,census_name,State,state_full,fips_code,Country,uuid,Year,Community Survey - Network,Community Survey - Awareness,Community Survey - Safety,Community Survey - Ridership,Community Score - Total,"Community Score - Total, Rounded",Community Survey - Responses,BNA - neighborhoods,BNA - opportunity_employment,BNA - opportunity_k12_education,BNA - opportunity_technical_vocational_college,BNA - opportunity_higher_education,BNA - opportunity,BNA - essential_services_doctors,BNA - essential_services_dentists,BNA - essential_services_hospitals,BNA - essential_services_pharmacies,BNA - essential_services_grocery,BNA - essential_services_social_services,BNA - essential_services,BNA - retail,BNA - recreation_parks,BNA - recreation_trails,BNA - recreation_community_centers,BNA - recreation,BNA - transit,BNA - overall_score,total_low_stress_miles,total_high_stress_miles,city_ratings_total,city_ratings_rounded,population,rank_country,pop_size,rank_country_size,rank_state_size,speed_limit,region,latitude,longitude
Brooksville,,FL,Florida,1208800,United States,9b5b76d8-f628-4367-bd1d-12e6423aacea,2022,0,0,0,0,0,0,0,17.54,12.5,17.17,0,0,12.98,0,0,5.16,10.36,13.75,0,10.01,15.74,9.2,5.09,0,7.28,0,12.57,7.3,180.2,10.056,10,8191,899,small,461,39,30,South,28.5165785,-82.4046645
Macomb,,MI,Michigan,2650480,United States,d84b4c38-cfda-40e3-9112-4fc80bebcd99,2022,26.26,14.4,49,60.2,37.48,37,33,28.07,16.32,12.1,0,0,9.95,5.46,0,0,9.51,10.29,0,4.62,2.29,11.74,0,0,7.22,0,10.06,619.8,118.2,15.544,16,91663,725,medium,306,27,25,Midwest,42.659167,-82.930833
Gilbert,,AZ,Arizona,427400,United States,32b1f820-9444-4c24-87c4-dc96b4f6f5f0,2022,44.34,34.4,45.8,67.6,47.98,48,103,25.38,18.97,41.9,20.57,8.04,24.97,33.57,31.31,8.2,21.41,26.78,19.28,23.21,42.46,69.82,3.37,12.85,32.32,4.44,25.33,1887.9,349.7,29.86,30,243254,309,medium,128,9,25,Mountain,33.3102245,-111.7432243
Eden Prairie,,MN,Minnesota,2718116,United States,70ea8bde-66fc-4247-8f4a-c07ea8e1be31,2022,0,0,0,0,0,0,0,50.51,48.16,44.12,54.62,0,37.76,35.41,34.59,29.68,36.06,38.04,40.26,35.63,34.26,70.89,80.86,36.49,65.78,30.46,41.83,318.8,644.6,33.464,33,64179,232,medium,96,8,30,Midwest,44.8479205,-93.4586545
Las Vegas,,NM,New Mexico,3539940,United States,a6796589-8365-4c5f-ad45-e8f4f98a4a74,2022,0,0,0,0,0,0,0,10.02,6.8,11.66,1.74,10.33,8.7,1.08,3.11,5.15,6.98,7.14,0,4.75,5.82,12.06,0,6.98,10.11,1.84,6.86,5.9,187.1,5.488,5,13176,1013,small,534,17,30,Mountain,35.6015582,-105.2211486
Scotts Valley,,CA,California,670588,United States,cb7d2823-5375-4288-9685-2d87cb08e116,2022,0,0,0,0,0,0,0,43.72,34.87,40.48,0,0,37.68,16.11,38.66,0,13.7,21.63,18.22,20.75,28.8,64.97,0,0,64.97,12.36,34.16,112.6,22.4,27.328,27,11863,371,small,175,72,25,Pacific,37.0554989,-122.0117689
Fort Wayne,,IN,Indiana,1825000,United States,98cef5a7-f5d9-4b8f-9f11-f2f0a733047f,2022,55.29,65.6,44.4,69.8,58.8,59,156,13.36,9.96,12.97,5.82,4.28,9.46,7.92,3.5,6.44,7.92,9.01,6.02,7.17,11.89,19.56,25.99,0.93,17.15,3.42,10.2,297.9,2522.4,19.92,20,265752,563,medium,241,5,30,Midwest,41.0891325,-85.1438998
San Francisco,,CA,California,667000,United States,ce729a14-6a02-439f-be70-1c52db05572c,2022,57.1,62,47.2,77.4,60.95,61,162,58.48,45.09,75.5,54.08,54.74,58.56,62.83,57.91,55.86,62.5,78.36,63.72,64.93,69.02,75.96,42.7,57.94,59.81,57.5,61.42,1717.4,560.4,61.326,61,874961,12,large,2,4,25,Pacific,37.7272391,-123.0322294
Flint,,MI,Michigan,2629000,United States,dda2dee5-1f32-4fd1-88b1-58e24c3fc93e,2022,0,0,0,0,0,0,0,34.32,18,51.4,11.31,23.97,30.22,1.89,11.03,23.29,10.36,24.91,7.78,14.57,37.25,51.11,29.23,2.5,31.3,0.04,24.39,841.5,292.1,19.512,20,96559,578,medium,248,24,25,Midwest,43.0244204,-83.6919715
Morristown,,NJ,New Jersey,3448300,United States,7c17b54e-1fca-4f63-9b2f-2dc6134ccd65,2022,51.23,43.2,44.2,72.4,52.76,53,27,30.05,24.27,55.63,1.06,34.82,35.04,22.54,19.97,33.1,26.35,39.2,0,25.56,1.09,66.48,0,18.36,47.97,11.82,25.76,68.8,27.1,31.16,31,18909,278,small,132,11,25,Mid-Atlantic,40.7965621,-74.4773184
