fips,place_name,state_abbr,state_name,geo_type
0100100,Abanda CDP,AL,Alabama,place
0100124,Abbeville city,AL,Alabama,place
0100460,Adamsville city,AL,Alabama,place
0100484,Addison town,AL,Alabama,place
0100676,Akron town,AL,Alabama,place
0100820,Alabaster city,AL,Alabama,place
0100988,Albertville city,AL,Alabama,place
0101132,Alexander City city,AL,Alabama,place
0101180,Alexandria CDP,AL,Alabama,place
0101228,Aliceville city,AL,Alabama,place
0101396,Allgood town,AL,Alabama,place
0101660,Altoona town,AL,Alabama,place
0101708,Andalusia city,AL,Alabama,place
0101756,Anderson town,AL,Alabama,place
0101852,Anniston city,AL,Alabama,place
0102116,Arab city,AL,Alabama,place
0102260,Ardmore town,AL,Alabama,place
0102320,Argo city,AL,Alabama,place
0102428,Ariton town,AL,Alabama,place
0102500,Arley town,AL,Alabama,place
0102836,Ashford city,AL,Alabama,place
0102860,Ashland town,AL,Alabama,place
0102908,Ashville city,AL,Alabama,place
0102956,Athens city,AL,Alabama,place
0103004,Atmore city,AL,Alabama,place
0103028,Attalla city,AL,Alabama,place
0103076,Auburn city,AL,Alabama,place
0103220,Autaugaville town,AL,Alabama,place
0103364,Avon town,AL,Alabama,place
0103508,Axis CDP,AL,Alabama,place
0103556,Babbie town,AL,Alabama,place
0103676,Baileyton town,AL,Alabama,place
0103724,Bakerhill town,AL,Alabama,place
0103820,Ballplay CDP,AL,Alabama,place
0103940,Banks town,AL,Alabama,place
0104660,Bay Minette city,AL,Alabama,place
0104684,Bayou La Batre city,AL,Alabama,place
0104852,Bear Creek town,AL,Alabama,place
0104900,Beatrice town,AL,Alabama,place
0104948,Beaverton town,AL,Alabama,place
0105140,Belgreen CDP,AL,Alabama,place
0105164,Belk town,AL,Alabama,place
0105188,Bellamy CDP,AL,Alabama,place
0105212,Belle Fontaine CDP,AL,Alabama,place
0105692,Benton town,AL,Alabama,place
0105812,Berlin town,AL,Alabama,place
0105932,Berry town,AL,Alabama,place
0105980,Bessemer city,AL,Alabama,place
0106460,Billingsley town,AL,Alabama,place
0107000,Birmingham city,AL,Alabama,place
0107120,Black town,AL,Alabama,place
0107456,Blountsville town,AL,Alabama,place
0107588,Blue Ridge CDP,AL,Alabama,place
0107672,Blue Springs town,AL,Alabama,place
0107912,Boaz city,AL,Alabama,place
0108104,Boligee town,AL,Alabama,place
0108248,Bon Air town,AL,Alabama,place
0108272,Bon Secour CDP,AL,Alabama,place
0108680,Boykin CDP,AL,Alabama,place
0109016,Brantley town,AL,Alabama,place
0109064,Brantleyville CDP,AL,Alabama,place
0109136,Brent city,AL,Alabama,place
0109208,Brewton city,AL,Alabama,place
0109328,Bridgeport city,AL,Alabama,place
0109400,Brighton city,AL,Alabama,place
0109424,Brilliant town,AL,Alabama,place
0109457,Bristow Cove CDP,AL,Alabama,place
0109500,Brook Highland CDP,AL,Alabama,place
0109736,Brookside town,AL,Alabama,place
0109808,Brookwood town,AL,Alabama,place
0109880,Broomtown CDP,AL,Alabama,place
0110240,Brundidge city,AL,Alabama,place
0110456,Bucks CDP,AL,Alabama,place
0111032,Butler town,AL,Alabama,place
0111416,Calera city,AL,Alabama,place
0111488,Calvert CDP,AL,Alabama,place
0111512,Camden city,AL,Alabama,place
0111680,Camp Hill town,AL,Alabama,place
0112016,Carbon Hill city,AL,Alabama,place
0112040,Cardiff town,AL,Alabama,place
0112070,Carlisle-Rockledge CDP,AL,Alabama,place
0112112,Carlton CDP,AL,Alabama,place
0112160,Carolina town,AL,Alabama,place
0112304,Carrollton town,AL,Alabama,place
0112496,Castleberry town,AL,Alabama,place
0112544,Catherine CDP,AL,Alabama,place
0112760,Cedar Bluff town,AL,Alabama,place
0113264,Center Point city,AL,Alabama,place
0113648,Centre city,AL,Alabama,place
0113672,Centreville city,AL,Alabama,place
0114008,Chatom town,AL,Alabama,place
0114104,Chelsea city,AL,Alabama,place
0114152,Cherokee town,AL,Alabama,place
0114202,Cherokee Ridge town,AL,Alabama,place
0114392,Chickasaw city,AL,Alabama,place
0114464,Childersburg city,AL,Alabama,place
0114728,Choccolocco CDP,AL,Alabama,place
0114968,Chunchula CDP,AL,Alabama,place
0115064,Citronelle city,AL,Alabama,place
0115136,Clanton city,AL,Alabama,place
0115256,Clay city,AL,Alabama,place
0115304,Clayhatchee town,AL,Alabama,place
0115376,Clayton city,AL,Alabama,place
0115472,Cleveland town,AL,Alabama,place
0115640,Clio city,AL,Alabama,place
0116000,Coaling city,AL,Alabama,place
0116080,Coats Bend CDP,AL,Alabama,place
0116240,Coffee Springs town,AL,Alabama,place
0116264,Coffeeville town,AL,Alabama,place
0116312,Coker town,AL,Alabama,place
0116600,Collinsville city,AL,Alabama,place
0116684,Colony town,AL,Alabama,place
0116744,Columbia town,AL,Alabama,place
0116768,Columbiana city,AL,Alabama,place
0116936,Concord CDP,AL,Alabama,place
0117176,Coosada town,AL,Alabama,place
0117368,Cordova town,AL,Alabama,place
0117704,Cottondale CDP,AL,Alabama,place
0117824,Cottonwood town,AL,Alabama,place
0117968,County Line town,AL,Alabama,place
0118040,Courtland town,AL,Alabama,place
0118088,Cowarts town,AL,Alabama,place
0118304,Creola town,AL,Alabama,place
0118856,Crossville town,AL,Alabama,place
0118952,Cuba town,AL,Alabama,place
0118976,Cullman city,AL,Alabama,place
